github_number,additions,deletions,changed_files
541,0,4061,66
559,617,557,4
693,734,151,23
1433,1338,284,27
697,1321,284,26
544,36,0,2
656,1871,0,25
617,391,192,15
547,8,2,1
593,302,67,11
611,67,5,5
563,11,570,8
562,71,2,5
566,11,8,1
567,1,1,1
589,162,59,12
641,6116,10,79
571,116,35,2
572,41,5,2
8716,20,16,3
8719,7,6,3
8676,31,0,4
577,122,0,1
2301,36,2,4
573,2,0,1
610,1,1,1
575,5,5,2
576,46,1,7
579,3,2,1
629,67,41,2
580,1,1,1
500,13,2,1
582,103,102,8
2279,3,0,1
2350,4,3,2
675,64,20,4
587,11,3,2
586,4,0,1
588,11,2,1
585,19,2,3
590,17,2,1
591,37,7,6
592,45,0,2
778,10,2,2
624,132,1,9
3090,1,1,1
1434,21,4,5
597,88,0,1
600,13,2,3
601,3,2,3
599,13,2,3
604,18170,5627,12
621,3,0,3
608,57,12,7
636,10,9,10
606,10,3602,235
609,102,2,2
613,1,1,1
680,18,5,6
614,35,34,1
615,4,4,1
757,126,62,14
619,6,4,3
634,17,6,1
626,149,59,19
625,134,0,1
655,743,162,13
632,34,19,6
2582,27,1,2
631,11,12,1
4138,135,1994,22
796,71,12,12
639,86,27,9
638,0,736,11
643,0,1,1
644,23,5,6
645,50,6,3
648,1,1,1
665,214,16,3
654,71,74,6
658,39,18,2
696,28,13,3
940,22,24,1
660,10,0,1
1091,0,225,4
741,0,1554,11
1033,0,1554,11
668,14344,7972,195
661,1398,0,13
960,0,4,1
945,3,7,2
4404,1378,322,30
861,1416,310,34
663,17,2,1
664,18,24,6
666,2,2,2
885,12,6,2
667,8,1,3
672,1,2,1
674,1,1,1
681,1,1,1
673,1,1,1
687,37,8,3
688,39,33,3
707,221,13,12
683,7,2,1
685,463,634,11
690,58,36,1
692,22,5,8
754,7,5,2
695,14,0,1
740,7,8,2
738,212,2,7
698,3,1,1
700,10,28,4
701,37,1,6
703,34,91,4
744,53,8,8
710,1,273,7
708,5,1,2
1171,7,6,1
887,0,669,1
1653,4,0,1
1652,231,51,8
1516,19,2,2
1513,36,25,4
1510,2,0,2
1011,129,40,7
1508,3,5,3
1013,41,3,3
857,0,11,1
1509,19,12,2
1006,108,40,10
714,185,6,7
731,122,49,9
721,38,6,4
717,18,0,1
725,6,6,11
727,109,16,5
728,7,1,3
818,14,16,10
863,2,2,1
746,80,18,2
734,24,23,1
810,7,1,2
730,2442,4138,191
735,2445,4138,192
814,2,0,1
748,323,202,17
750,45,23,2
732,94,85,1
1008,166,87,8
733,166,87,8
739,74,0,3
736,3,0,2
737,154,42,22
747,101,26,7
749,19,3,4
751,1,1,1
755,51,5,8
759,0,22,2
758,22,0,2
761,18,2,1
760,19,11,1
764,1,1,1
1716,1,1,1
762,5,4,1
766,1,1,1
767,1,1,1
1688,52,29,6
768,6,0,4
769,83,5,6
770,30,1,2
772,0,8,1
793,7,0,1
774,18,33,4
777,36,0,5
776,18,1,2
779,4,3,2
809,5732,1776,130
782,707,103,11
781,6,6,6
1309,6,3,2
807,104,8,19
821,2,0,1
785,559,5,2
813,4,4,1
831,17,11,2
799,39,60,1
1405,2,2,1
1416,0,247,2
1392,301,2,8
1393,279,1,5
787,22,18,3
791,118,4,1
788,26,25,1
789,10,5,1
790,322,37,5
811,13,2,2
1268,26,0,1
816,356,343,15
798,63,35,4
797,1,1,1
801,414,434,4
820,7,3,2
806,2379,1,21
839,70,2,4
815,658,4,17
1989,12,5,1
2096,20,12,1
853,420,249,6
822,1,499,2
1758,5,5,3
823,20,0,6
824,22,1,1
826,30,0,2
827,59,8,5
899,3,15,1
871,2,2,1
947,141,1,4
828,14,2,2
830,8,4,4
882,338,109,18
832,207,207,21
840,88,80,11
872,1,2,1
856,1,0,1
837,125,26,5
838,24,0,4
850,1,1,1
898,40,1046,13
931,1,1,1
841,13,14,1
842,17,1,2
844,55,44,8
855,277,69,25
843,1,1,1
860,1,0,1
846,6,0,1
847,5,3,1
866,7,2,6
848,3,2,3
849,5,5,1
851,1,1,1
858,2,2,1
864,4,2,1
867,94,2,3
4601,22,1,5
1030,31,24,2
1253,59,24,3
880,10,21,1
903,17,1,3
894,4,2,1
873,398,377,9
876,19,521,10
884,354,153,5
883,0,1,1
926,23664,4672,600
949,864,4,15
1007,15,15,5
1050,200,4,6
881,19,2,2
1254,1771,96,25
886,0,19,1
889,94,104,5
890,26,20,1
891,1,17,3
1037,14,924,41
895,14,1,2
896,1,1,1
897,193,26,9
925,31,7,4
900,1,1,1
1431,1,1,1
902,4,4,1
904,2,2,2
905,1,2,1
908,29,9,2
907,2,2,1
1071,65,61,12
1234,4,0,1
910,13,0,1
1162,29,268,9
911,14,16,3
3191,1,1,1
1242,33,31,1
1300,90,42,7
1239,31,13,5
1407,60,101,7
1224,2,2,2
1218,241,24,10
1323,139,4,3
913,56,483,137
914,10,4,2
916,7,34,3
922,0,1033,4
923,31,7,1
928,32,39,1
929,10,0,1
930,5,5,1
937,16,6,3
938,3,5,2
939,6,18,3
941,69,51,1
943,129,5,3
948,150,71,21
1057,8,3,4
957,0,7,1
958,5,0,2
2144,32,2,2
959,23,18,1
962,1,1,1
965,6,20,2
966,2,1,2
967,99,84,3
968,11,4,2
969,1,1,1
970,6,2,1
972,4,2,1
973,39,27,2
974,90,90,4
975,32,54,1
3437,788,840,33
976,955,1063,31
977,66,57,2
978,14,12,5
979,1,1,1
980,38,8,4
982,30,1,1
984,9,8,1
986,106,0,3
987,3,3,1
1028,0,2,2
1019,1196,12,14
988,66,33,6
989,2,0,2
990,61,51,3
996,1,1,1
997,6,2,1
1112,80,0,1
1160,543,0,5
998,255,1,3
999,163,0,1
2142,28,29,1
1002,83,0,2
1113,80,0,1
1085,12,15,1
1004,20,0,1
1005,127,0,3
5505,0,1,1
1104,6,3,1
1032,0,264,39
1265,1,0,1
