github_number,additions,deletions,changed_files
2552,299,14,5
2508,43,52,5
2501,275,336,15
2503,25,14,3
2819,559,414,28
2816,624,201,14
2507,741,344,18
2510,285,446,16
2505,10,0,1
2596,42,27,2
3099,145,8,7
2513,1,1,1
2520,5,0,1
2522,4,0,1
2516,26,7,13
2521,15,9,1
2527,32,39,1
2529,6,0,1
2531,146,129,6
2535,106,10,7
2537,111,103,11
3358,591,479,7
3277,532,463,7
2581,133,85,4
2554,4,2,2
2555,5,0,1
2613,372,258,8
2648,163,129,5
2635,113,72,3
2560,12,11,2
2559,40,60,1
2561,16,0,1
2589,16,2,1
2562,2,2,1
2597,5,8,1
2580,82,68,2
2563,11,7,1
2574,15,8,1
2571,128,101,29
2575,1,0,1
2572,1,1,1
2573,1,1,1
2576,1,0,1
2578,3,1,1
2579,15,6,3
2584,4,1,1
2837,15,25,6
2585,27,19,1
2588,3,3,1
2759,18,2,2
2745,1,16,2
2593,1,0,1
2594,27,45,13
2599,1,0,1
2609,2,2,1
2636,31,45,12
2608,9,9,1
2615,3,4,1
2617,1,1,1
2789,65,37,4
2623,8,2,1
2622,13,7,1
2632,45,47,9
2624,29,19,5
2626,2,2,1
2637,11,5,2
2645,4,2,1
2639,483,383,9
2793,197,101,7
2647,10,20,4
2676,10,9,2
2650,184,136,7
2652,23,0,2
2667,55,16,4
2753,70,0,5
2698,16,9,4
2671,3278,1690,63
2740,2,2,1
2712,419,292,43
2655,1164,136,41
2668,3,3,1
2658,5,0,1
2664,15,3,1
2750,15,3,1
2660,143,147,17
2677,20,3,1
2669,26,23,1
2672,22,11,1
2670,38,11,2
2678,24,25,2
2681,617,554,3
2689,981,916,3
2684,9,0,1
2690,31,24,1
2680,24,5,1
2691,6,1,1
2687,15,5,1
2693,22,20,1
2703,0,1,1
2700,9,100,6
2710,1,1,1
2823,1,2,1
2813,1,0,1
2787,416,0,4
2715,1,1,1
2717,3,0,1
2719,22,15,1
2716,13,4,2
2718,225,110,22
2722,3,3,1
2721,1,1,1
2802,2,3,1
2725,4,0,1
2726,1,1,1
2774,1,1,1
2739,3,0,1
2742,5,1,1
2730,233,227,20
2729,21,20,4
2723,1,0,1
2947,22,14,2
2908,182,181,14
2735,20,12,3
2768,26,13,4
2736,26,13,4
2801,363,83,23
2932,4,4,1
2804,275,81,13
2737,84,89,2
2738,1,1,1
2786,4,4,2
2741,133,37,5
2743,12,10,1
2758,96,259,12
2744,32,25,5
2751,9,0,1
2747,7,0,1
2752,10,0,2
2748,3,1,1
2651,172,182,6
2770,38,82,5
2842,31,20,8
2799,607,482,25
2844,1,1,1
2828,13,12,1
2797,54,11,2
2814,22,36,1
2767,36,20,5
2894,38,11,3
3155,121,59,8
2755,192,95,15
2765,51,25,6
2757,106,40,8
2769,59,37,8
2762,1,1,1
2760,4,6,1
2763,17,27,7
2775,8,5,1
2764,2,2,2
2771,13,12,5
2773,308,141,52
2792,1,1,1
2785,16,12,2
2790,10,8,2
2780,6,1,2
2788,2,18,1
2860,5,5,1
2928,3,1,1
2818,136,38,21
2783,38,29,8
2824,28,27,12
2815,28,0,1
2812,223,279,3
2967,3776,36,22
2979,2,4,2
2794,132,68,2
2791,29,15,3
2798,3,2,1
2825,5,5,2
2822,0,1,1
2820,8,6,2
3527,366,87,7
2803,46,12,4
2800,42,9,5
2834,436,294,18
2950,9,13,5
2857,36,16,1
2865,5,1,2
2808,17,16,2
2960,1,0,1
2959,2,0,1
2945,289,16,6
2817,10,10,2
2875,20,24,4
2831,11,14,2
2919,17,14,2
2826,1,1,1
2833,191,122,11
2832,271,144,17
2847,2,1,3
2848,11,9,3
2885,2,7,2
2880,5,1,1
2937,78,58,3
2874,99,64,4
2896,9,8,1
2903,32,21,2
2901,31,13,1
2900,3,2,1
2899,26,22,3
2889,298,380,17
2893,16,25,3
2877,91,118,10
2879,0,1,1
2861,5,5,1
2868,123,173,7
2867,258,293,22
2872,20,14,2
2776,3,4,1
2911,5,16,2
2926,39,29,1
2876,662,364,23
2927,3,3,1
2918,17,2,1
3386,2685,2027,116
2878,39,12,3
2884,6,4,3
3207,105,68,8
2902,23,96,8
2907,0,1,1
2892,3,2,1
2882,113,7,2
2888,260,278,105
2886,7,0,1
2916,10,6,1
2897,26,12,4
2890,11,2,2
2906,23,7,1
2912,173,206,14
2970,2,1,1
2914,24,9,2
2910,75,24,7
2915,1,1,1
2922,40,38,2
2929,29,6,4
2917,15,8,2
2920,1,1,1
